,Disease,Combined_Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4
34,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
35,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
36,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
37,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain",cold baths,anti itch medicine,consult doctor,eat healthy
38,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
39,Chronic cholestasis,"itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes",cold baths,anti itch medicine,consult doctor,eat healthy
40,Drug Reaction,"itching,  skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
41,Drug Reaction,"itching,  stomach_pain,  burning_micturition,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
42,Drug Reaction,"itching,  skin_rash,  burning_micturition,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
43,Drug Reaction,"itching,  skin_rash,  stomach_pain,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
44,Drug Reaction,"itching,  skin_rash,  stomach_pain,  burning_micturition",stop irritation,consult nearest hospital,stop taking drug,follow up
45,Drug Reaction," skin_rash,  stomach_pain,  burning_micturition,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
46,Drug Reaction,"itching,  stomach_pain,  burning_micturition,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
47,Drug Reaction,"itching,  skin_rash,  burning_micturition,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
48,Drug Reaction,"itching,  skin_rash,  stomach_pain,  spotting_ urination",stop irritation,consult nearest hospital,stop taking drug,follow up
49,Drug Reaction,"itching,  skin_rash,  stomach_pain,  burning_micturition",stop irritation,consult nearest hospital,stop taking drug,follow up
50,Peptic ulcer diseae," vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
51,Peptic ulcer diseae," vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
52,Peptic ulcer diseae," indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
53,Peptic ulcer diseae," vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
54,Peptic ulcer diseae," vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
55,Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
56,Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
57,Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
58,Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
59,Peptic ulcer diseae," vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
60,AIDS," muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
61,AIDS," patches_in_throat,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
62,AIDS," muscle_wasting,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
63,AIDS," muscle_wasting,  patches_in_throat,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
64,AIDS," muscle_wasting,  patches_in_throat,  high_fever",avoid open cuts,wear ppe if possible,consult doctor,follow up
65,AIDS," muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
66,AIDS," muscle_wasting,  patches_in_throat,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
67,AIDS," patches_in_throat,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
68,AIDS," muscle_wasting,  high_fever,  extra_marital_contacts",avoid open cuts,wear ppe if possible,consult doctor,follow up
69,AIDS," muscle_wasting,  patches_in_throat,  high_fever",avoid open cuts,wear ppe if possible,consult doctor,follow up
70,Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
71,Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
72,Diabetes ," weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
73,Diabetes ," fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
74,Diabetes ," fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
75,Diabetes ," fatigue,  weight_loss,  restlessness,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
76,Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
77,Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  obesity,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
78,Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  excessive_hunger,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
79,Diabetes ," fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  increased_appetite,  polyuria",have balanced diet,exercise,consult doctor,follow up
80,Gastroenteritis," vomiting,  sunken_eyes,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
81,Gastroenteritis," vomiting,  sunken_eyes,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
82,Gastroenteritis," sunken_eyes,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
83,Gastroenteritis," vomiting,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
84,Gastroenteritis," vomiting,  sunken_eyes,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
85,Gastroenteritis," vomiting,  sunken_eyes,  dehydration",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
86,Gastroenteritis," vomiting,  sunken_eyes,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
87,Gastroenteritis," sunken_eyes,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
88,Gastroenteritis," vomiting,  dehydration,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
89,Gastroenteritis," vomiting,  sunken_eyes,  diarrhoea",stop eating solid food for while,try taking small sips of water,rest,ease back into eating
90,Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
91,Bronchial Asthma," cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
92,Bronchial Asthma," fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
93,Bronchial Asthma," fatigue,  cough,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
94,Bronchial Asthma," fatigue,  cough,  high_fever,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
95,Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
96,Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  family_history",switch to loose cloothing,take deep breaths,get away from trigger,seek help
97,Bronchial Asthma," fatigue,  cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
98,Bronchial Asthma," cough,  high_fever,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
99,Bronchial Asthma," fatigue,  high_fever,  breathlessness,  family_history,  mucoid_sputum",switch to loose cloothing,take deep breaths,get away from trigger,seek help
100,Hypertension ," headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
101,Hypertension ," chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
102,Hypertension ," headache,  dizziness,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
103,Hypertension ," headache,  chest_pain,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
104,Hypertension ," headache,  chest_pain,  dizziness,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
105,Hypertension ," headache,  chest_pain,  dizziness,  loss_of_balance",meditation,salt baths,reduce stress,get proper sleep
106,Hypertension ," headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
107,Hypertension ," chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
108,Hypertension ," headache,  dizziness,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
109,Hypertension ," headache,  chest_pain,  loss_of_balance,  lack_of_concentration",meditation,salt baths,reduce stress,get proper sleep
110,Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
111,Migraine," indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
112,Migraine," acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
113,Migraine," acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
114,Migraine," acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
115,Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
116,Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
117,Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
118,Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  visual_disturbances",meditation,reduce stress,use poloroid glasses in sun,consult doctor
119,Migraine," acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability",meditation,reduce stress,use poloroid glasses in sun,consult doctor
120,Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
121,Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
122,Cervical spondylosis," weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
123,Cervical spondylosis," back_pain,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
124,Cervical spondylosis," back_pain,  weakness_in_limbs,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
125,Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
126,Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
127,Cervical spondylosis," back_pain,  weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
128,Cervical spondylosis," weakness_in_limbs,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
129,Cervical spondylosis," back_pain,  neck_pain,  dizziness,  loss_of_balance",use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
130,Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
131,Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
132,Paralysis (brain hemorrhage)," headache,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
133,Paralysis (brain hemorrhage)," vomiting,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
134,Paralysis (brain hemorrhage)," vomiting,  headache,  altered_sensorium",massage,eat healthy,exercise,consult doctor
135,Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side",massage,eat healthy,exercise,consult doctor
136,Paralysis (brain hemorrhage)," vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
137,Paralysis (brain hemorrhage)," headache,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
138,Paralysis (brain hemorrhage)," vomiting,  weakness_of_one_body_side,  altered_sensorium",massage,eat healthy,exercise,consult doctor
139,Paralysis (brain hemorrhage)," vomiting,  headache,  altered_sensorium",massage,eat healthy,exercise,consult doctor
140,Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
141,Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
142,Jaundice," vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
143,Jaundice,"itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
144,Jaundice,"itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
145,Jaundice,"itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
146,Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  yellowish_skin,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
147,Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  dark_urine,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
148,Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  abdominal_pain",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
149,Jaundice,"itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine",drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
150,Malaria," chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
151,Malaria," chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
152,Malaria," chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
153,Malaria," vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
154,Malaria," chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
155,Malaria," chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
156,Malaria," chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
157,Malaria," chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
158,Malaria," chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
159,Malaria," chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain",Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
160,Chicken pox,"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
161,Chicken pox," skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
162,Chicken pox,"itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
163,Chicken pox,"itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
164,Chicken pox,"itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
165,Chicken pox,"itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
166,Chicken pox,"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
167,Chicken pox,"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
168,Chicken pox,"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
169,Chicken pox,"itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise,  red_spots_over_body",use neem in bathing ,consume neem leaves,take vaccine,avoid public places
170,Dengue," skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  muscle_pain,  red_spots_over_body",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
171,Dengue," skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  red_spots_over_body",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
172,Dengue," skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
173,Dengue," skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
174,Dengue," chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
175,Dengue," skin_rash,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain,  red_spots_over_body",drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
